"sample_id","shannon","simpson_dominance","richness","site","lure","trap_id","date"
"NH.75",1.74222087512748,0.284023668639053,10,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-07-10
"NH.97",1.41417546405698,0.333333333333333,6,"Manchester Airport","Ips","M3-I",2024-05-15
"NH.76",0.295439191872116,0.841209829867675,2,"Manchester Airport","Ips","M3-I",2024-05-29
"NH.109",0.672591048901325,0.702222222222222,5,"Manchester Airport","Ips","M3-I",2024-06-12
"NH.61",1.28687263039802,0.351111111111111,5,"Manchester Airport","Ips","M3-I",2024-06-26
"NH.110",0.793730055158425,0.609467455621302,4,"Manchester Airport","Ips","M3-I",2024-07-10
"NH.106",0.324912323355518,0.873928269532665,5,"Pease","Ethanol","P1-E",2024-05-01
"NH.100",1.53261421457588,0.271671624033314,9,"Pease","Ethanol","P1-E",2024-05-15
"NH.72",1.84299941729088,0.185431995927623,17,"Pease","Ethanol","P1-E",2024-05-29
"NH.35",1.64803834872613,0.243512110726644,8,"Pease","Ethanol","P1-E",2024-06-12
"NH.36",1.63587461663958,0.293219767245741,12,"Pease","Ethanol","P1-E",2024-06-26
"NH.137",1.33210810419188,0.370867768595041,7,"Pease","Ethanol","P1-E",2024-07-10
"NH.39",1.86771601608706,0.231111111111111,10,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-01
"NH.91",2.41024782632627,0.124362244897959,21,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-15
"NH.122",1.92317948532226,0.24212821059188,21,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-29
"NH.70",2.25632655725083,0.130204081632653,14,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-12
"NH.131",2.07899052033481,0.205705811736459,18,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-26
"NH.124",1.76464538000381,0.279644444444444,14,"Pease","Alpha-pinene_EtOH","P2-EA",2024-07-10
"NH.113",1.32966134885476,0.277777777777778,4,"Pease","Ips","P3-I",2024-05-01
"NH.129",2.10855043032342,0.18497999384426,15,"Pease","Ips","P3-I",2024-05-15
"NH.132",0.800809786900959,0.634238683127572,7,"Pease","Ips","P3-I",2024-05-29
"NH.95",0.548117664927045,0.72510581421252,4,"Pease","Ips","P3-I",2024-06-26
"NH.115",0.58561484528369,0.681995464852608,4,"Pease","Ips","P3-I",2024-07-10
