"Genus","Species","Lure","Lure_lab","date","n_individuals"
"Xyleborinus","Xyleborinus attenuatus","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Xyleborinus","Xyleborinus attenuatus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Xyleborinus","Xyleborinus attenuatus","EA","Alpha-pinene + Ethanol",2024-06-26,1
"Xyleborinus","Xyleborinus attenuatus","EA","Alpha-pinene + Ethanol",2024-07-10,1
"Xyleborinus","Xyleborinus attenuatus","I","Ips lure",2024-05-01,4
"Xyleborinus","Xyleborinus attenuatus","I","Ips lure",2024-05-15,2
"Xyleborinus","Xyleborinus attenuatus","I","Ips lure",2024-05-29,0
"Xyleborinus","Xyleborinus attenuatus","I","Ips lure",2024-06-12,0
"Xyleborinus","Xyleborinus attenuatus","I","Ips lure",2024-06-26,0
"Xyleborinus","Xyleborinus attenuatus","I","Ips lure",2024-07-10,0
"Conophthorus","Conophthorus coniperda","E","Ethanol",2024-05-01,0
"Conophthorus","Conophthorus coniperda","E","Ethanol",2024-05-15,0
"Conophthorus","Conophthorus coniperda","E","Ethanol",2024-05-29,0
"Conophthorus","Conophthorus coniperda","E","Ethanol",2024-06-12,0
"Conophthorus","Conophthorus coniperda","E","Ethanol",2024-06-26,0
"Conophthorus","Conophthorus coniperda","E","Ethanol",2024-07-10,0
"Conophthorus","Conophthorus coniperda","EA","Alpha-pinene + Ethanol",2024-05-01,4
"Conophthorus","Conophthorus coniperda","EA","Alpha-pinene + Ethanol",2024-05-15,1
"Conophthorus","Conophthorus coniperda","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Conophthorus","Conophthorus coniperda","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Conophthorus","Conophthorus coniperda","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Conophthorus","Conophthorus coniperda","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Conophthorus","Conophthorus coniperda","I","Ips lure",2024-05-01,0
"Conophthorus","Conophthorus coniperda","I","Ips lure",2024-05-15,2
"Conophthorus","Conophthorus coniperda","I","Ips lure",2024-05-29,0
"Conophthorus","Conophthorus coniperda","I","Ips lure",2024-06-12,0
"Conophthorus","Conophthorus coniperda","I","Ips lure",2024-06-26,0
"Conophthorus","Conophthorus coniperda","I","Ips lure",2024-07-10,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","E","Ethanol",2024-05-01,105
"Cyclorhipidion","Cyclorhipidion pelliculosum","E","Ethanol",2024-05-15,111
"Cyclorhipidion","Cyclorhipidion pelliculosum","E","Ethanol",2024-05-29,24
"Cyclorhipidion","Cyclorhipidion pelliculosum","E","Ethanol",2024-06-12,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","E","Ethanol",2024-06-26,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","E","Ethanol",2024-07-10,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","EA","Alpha-pinene + Ethanol",2024-05-01,1
"Cyclorhipidion","Cyclorhipidion pelliculosum","EA","Alpha-pinene + Ethanol",2024-05-15,2
"Cyclorhipidion","Cyclorhipidion pelliculosum","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","I","Ips lure",2024-05-01,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","I","Ips lure",2024-05-15,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","I","Ips lure",2024-05-29,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","I","Ips lure",2024-06-12,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","I","Ips lure",2024-06-26,0
"Cyclorhipidion","Cyclorhipidion pelliculosum","I","Ips lure",2024-07-10,0
"Pityophthorus","Pityophthorus cariniceps","E","Ethanol",2024-05-01,0
"Pityophthorus","Pityophthorus cariniceps","E","Ethanol",2024-05-15,0
"Pityophthorus","Pityophthorus cariniceps","E","Ethanol",2024-05-29,1
"Pityophthorus","Pityophthorus cariniceps","E","Ethanol",2024-06-12,1
"Pityophthorus","Pityophthorus cariniceps","E","Ethanol",2024-06-26,0
"Pityophthorus","Pityophthorus cariniceps","E","Ethanol",2024-07-10,0
"Pityophthorus","Pityophthorus cariniceps","EA","Alpha-pinene + Ethanol",2024-05-01,5
"Pityophthorus","Pityophthorus cariniceps","EA","Alpha-pinene + Ethanol",2024-05-15,0
"Pityophthorus","Pityophthorus cariniceps","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Pityophthorus","Pityophthorus cariniceps","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Pityophthorus","Pityophthorus cariniceps","EA","Alpha-pinene + Ethanol",2024-06-26,1
"Pityophthorus","Pityophthorus cariniceps","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Pityophthorus","Pityophthorus cariniceps","I","Ips lure",2024-05-01,4
"Pityophthorus","Pityophthorus cariniceps","I","Ips lure",2024-05-15,1
"Pityophthorus","Pityophthorus cariniceps","I","Ips lure",2024-05-29,0
"Pityophthorus","Pityophthorus cariniceps","I","Ips lure",2024-06-12,0
"Pityophthorus","Pityophthorus cariniceps","I","Ips lure",2024-06-26,0
"Pityophthorus","Pityophthorus cariniceps","I","Ips lure",2024-07-10,0
"Hylesinus","Hylesinus criddlei","E","Ethanol",2024-05-01,0
"Hylesinus","Hylesinus criddlei","E","Ethanol",2024-05-15,0
"Hylesinus","Hylesinus criddlei","E","Ethanol",2024-05-29,0
"Hylesinus","Hylesinus criddlei","E","Ethanol",2024-06-12,0
"Hylesinus","Hylesinus criddlei","E","Ethanol",2024-06-26,0
"Hylesinus","Hylesinus criddlei","E","Ethanol",2024-07-10,0
"Hylesinus","Hylesinus criddlei","EA","Alpha-pinene + Ethanol",2024-05-01,0
"Hylesinus","Hylesinus criddlei","EA","Alpha-pinene + Ethanol",2024-05-15,2
"Hylesinus","Hylesinus criddlei","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Hylesinus","Hylesinus criddlei","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Hylesinus","Hylesinus criddlei","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Hylesinus","Hylesinus criddlei","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Hylesinus","Hylesinus criddlei","I","Ips lure",2024-05-01,0
"Hylesinus","Hylesinus criddlei","I","Ips lure",2024-05-15,0
"Hylesinus","Hylesinus criddlei","I","Ips lure",2024-05-29,0
"Hylesinus","Hylesinus criddlei","I","Ips lure",2024-06-12,0
"Hylesinus","Hylesinus criddlei","I","Ips lure",2024-06-26,0
"Hylesinus","Hylesinus criddlei","I","Ips lure",2024-07-10,0
"Xyloterinus","Xyloterinus politus","E","Ethanol",2024-05-01,2
"Xyloterinus","Xyloterinus politus","E","Ethanol",2024-05-15,22
"Xyloterinus","Xyloterinus politus","E","Ethanol",2024-05-29,4
"Xyloterinus","Xyloterinus politus","E","Ethanol",2024-06-12,0
"Xyloterinus","Xyloterinus politus","E","Ethanol",2024-06-26,0
"Xyloterinus","Xyloterinus politus","E","Ethanol",2024-07-10,0
"Xyloterinus","Xyloterinus politus","EA","Alpha-pinene + Ethanol",2024-05-01,3
"Xyloterinus","Xyloterinus politus","EA","Alpha-pinene + Ethanol",2024-05-15,25
"Xyloterinus","Xyloterinus politus","EA","Alpha-pinene + Ethanol",2024-05-29,1
"Xyloterinus","Xyloterinus politus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Xyloterinus","Xyloterinus politus","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Xyloterinus","Xyloterinus politus","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Xyloterinus","Xyloterinus politus","I","Ips lure",2024-05-01,3
"Xyloterinus","Xyloterinus politus","I","Ips lure",2024-05-15,29
"Xyloterinus","Xyloterinus politus","I","Ips lure",2024-05-29,4
"Xyloterinus","Xyloterinus politus","I","Ips lure",2024-06-12,0
"Xyloterinus","Xyloterinus politus","I","Ips lure",2024-06-26,0
"Xyloterinus","Xyloterinus politus","I","Ips lure",2024-07-10,0
"Hylesinus","Hylesinus aculeatus","E","Ethanol",2024-05-01,1
"Hylesinus","Hylesinus aculeatus","E","Ethanol",2024-05-15,1
"Hylesinus","Hylesinus aculeatus","E","Ethanol",2024-05-29,2
"Hylesinus","Hylesinus aculeatus","E","Ethanol",2024-06-12,0
"Hylesinus","Hylesinus aculeatus","E","Ethanol",2024-06-26,0
"Hylesinus","Hylesinus aculeatus","E","Ethanol",2024-07-10,0
"Hylesinus","Hylesinus aculeatus","EA","Alpha-pinene + Ethanol",2024-05-01,0
"Hylesinus","Hylesinus aculeatus","EA","Alpha-pinene + Ethanol",2024-05-15,24
"Hylesinus","Hylesinus aculeatus","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Hylesinus","Hylesinus aculeatus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Hylesinus","Hylesinus aculeatus","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Hylesinus","Hylesinus aculeatus","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Hylesinus","Hylesinus aculeatus","I","Ips lure",2024-05-01,0
"Hylesinus","Hylesinus aculeatus","I","Ips lure",2024-05-15,2
"Hylesinus","Hylesinus aculeatus","I","Ips lure",2024-05-29,0
"Hylesinus","Hylesinus aculeatus","I","Ips lure",2024-06-12,0
"Hylesinus","Hylesinus aculeatus","I","Ips lure",2024-06-26,0
"Hylesinus","Hylesinus aculeatus","I","Ips lure",2024-07-10,0
"Heteroborips","Heteroborips seriatus","E","Ethanol",2024-05-01,41
"Heteroborips","Heteroborips seriatus","E","Ethanol",2024-05-15,48
"Heteroborips","Heteroborips seriatus","E","Ethanol",2024-05-29,21
"Heteroborips","Heteroborips seriatus","E","Ethanol",2024-06-12,9
"Heteroborips","Heteroborips seriatus","E","Ethanol",2024-06-26,4
"Heteroborips","Heteroborips seriatus","E","Ethanol",2024-07-10,0
"Heteroborips","Heteroborips seriatus","EA","Alpha-pinene + Ethanol",2024-05-01,6
"Heteroborips","Heteroborips seriatus","EA","Alpha-pinene + Ethanol",2024-05-15,13
"Heteroborips","Heteroborips seriatus","EA","Alpha-pinene + Ethanol",2024-05-29,6
"Heteroborips","Heteroborips seriatus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Heteroborips","Heteroborips seriatus","EA","Alpha-pinene + Ethanol",2024-06-26,1
"Heteroborips","Heteroborips seriatus","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Heteroborips","Heteroborips seriatus","I","Ips lure",2024-05-01,0
"Heteroborips","Heteroborips seriatus","I","Ips lure",2024-05-15,4
"Heteroborips","Heteroborips seriatus","I","Ips lure",2024-05-29,0
"Heteroborips","Heteroborips seriatus","I","Ips lure",2024-06-12,0
"Heteroborips","Heteroborips seriatus","I","Ips lure",2024-06-26,1
"Heteroborips","Heteroborips seriatus","I","Ips lure",2024-07-10,0
"Hylastes","Hylastes opacus","E","Ethanol",2024-05-01,0
"Hylastes","Hylastes opacus","E","Ethanol",2024-05-15,1
"Hylastes","Hylastes opacus","E","Ethanol",2024-05-29,0
"Hylastes","Hylastes opacus","E","Ethanol",2024-06-12,0
"Hylastes","Hylastes opacus","E","Ethanol",2024-06-26,0
"Hylastes","Hylastes opacus","E","Ethanol",2024-07-10,0
"Hylastes","Hylastes opacus","EA","Alpha-pinene + Ethanol",2024-05-01,1
"Hylastes","Hylastes opacus","EA","Alpha-pinene + Ethanol",2024-05-15,11
"Hylastes","Hylastes opacus","EA","Alpha-pinene + Ethanol",2024-05-29,4
"Hylastes","Hylastes opacus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Hylastes","Hylastes opacus","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Hylastes","Hylastes opacus","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Hylastes","Hylastes opacus","I","Ips lure",2024-05-01,0
"Hylastes","Hylastes opacus","I","Ips lure",2024-05-15,2
"Hylastes","Hylastes opacus","I","Ips lure",2024-05-29,0
"Hylastes","Hylastes opacus","I","Ips lure",2024-06-12,0
"Hylastes","Hylastes opacus","I","Ips lure",2024-06-26,0
"Hylastes","Hylastes opacus","I","Ips lure",2024-07-10,0
"Pityogenes","Pityogenes hopkinsi","E","Ethanol",2024-05-01,2
"Pityogenes","Pityogenes hopkinsi","E","Ethanol",2024-05-15,5
"Pityogenes","Pityogenes hopkinsi","E","Ethanol",2024-05-29,1
"Pityogenes","Pityogenes hopkinsi","E","Ethanol",2024-06-12,0
"Pityogenes","Pityogenes hopkinsi","E","Ethanol",2024-06-26,0
"Pityogenes","Pityogenes hopkinsi","E","Ethanol",2024-07-10,0
"Pityogenes","Pityogenes hopkinsi","EA","Alpha-pinene + Ethanol",2024-05-01,4
"Pityogenes","Pityogenes hopkinsi","EA","Alpha-pinene + Ethanol",2024-05-15,18
"Pityogenes","Pityogenes hopkinsi","EA","Alpha-pinene + Ethanol",2024-05-29,2
"Pityogenes","Pityogenes hopkinsi","EA","Alpha-pinene + Ethanol",2024-06-12,1
"Pityogenes","Pityogenes hopkinsi","EA","Alpha-pinene + Ethanol",2024-06-26,1
"Pityogenes","Pityogenes hopkinsi","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Pityogenes","Pityogenes hopkinsi","I","Ips lure",2024-05-01,0
"Pityogenes","Pityogenes hopkinsi","I","Ips lure",2024-05-15,4
"Pityogenes","Pityogenes hopkinsi","I","Ips lure",2024-05-29,0
"Pityogenes","Pityogenes hopkinsi","I","Ips lure",2024-06-12,0
"Pityogenes","Pityogenes hopkinsi","I","Ips lure",2024-06-26,1
"Pityogenes","Pityogenes hopkinsi","I","Ips lure",2024-07-10,1
"Gnathotrichus","Gnathotrichus materiarius","E","Ethanol",2024-05-01,0
"Gnathotrichus","Gnathotrichus materiarius","E","Ethanol",2024-05-15,3
"Gnathotrichus","Gnathotrichus materiarius","E","Ethanol",2024-05-29,3
"Gnathotrichus","Gnathotrichus materiarius","E","Ethanol",2024-06-12,1
"Gnathotrichus","Gnathotrichus materiarius","E","Ethanol",2024-06-26,0
"Gnathotrichus","Gnathotrichus materiarius","E","Ethanol",2024-07-10,1
"Gnathotrichus","Gnathotrichus materiarius","EA","Alpha-pinene + Ethanol",2024-05-01,6
"Gnathotrichus","Gnathotrichus materiarius","EA","Alpha-pinene + Ethanol",2024-05-15,22
"Gnathotrichus","Gnathotrichus materiarius","EA","Alpha-pinene + Ethanol",2024-05-29,1
"Gnathotrichus","Gnathotrichus materiarius","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Gnathotrichus","Gnathotrichus materiarius","EA","Alpha-pinene + Ethanol",2024-06-26,1
"Gnathotrichus","Gnathotrichus materiarius","EA","Alpha-pinene + Ethanol",2024-07-10,1
"Gnathotrichus","Gnathotrichus materiarius","I","Ips lure",2024-05-01,1
"Gnathotrichus","Gnathotrichus materiarius","I","Ips lure",2024-05-15,3
"Gnathotrichus","Gnathotrichus materiarius","I","Ips lure",2024-05-29,2
"Gnathotrichus","Gnathotrichus materiarius","I","Ips lure",2024-06-12,0
"Gnathotrichus","Gnathotrichus materiarius","I","Ips lure",2024-06-26,2
"Gnathotrichus","Gnathotrichus materiarius","I","Ips lure",2024-07-10,0
"Dendroctonus","Dendroctonus valens","E","Ethanol",2024-05-01,1
"Dendroctonus","Dendroctonus valens","E","Ethanol",2024-05-15,1
"Dendroctonus","Dendroctonus valens","E","Ethanol",2024-05-29,0
"Dendroctonus","Dendroctonus valens","E","Ethanol",2024-06-12,0
"Dendroctonus","Dendroctonus valens","E","Ethanol",2024-06-26,0
"Dendroctonus","Dendroctonus valens","E","Ethanol",2024-07-10,0
"Dendroctonus","Dendroctonus valens","EA","Alpha-pinene + Ethanol",2024-05-01,10
"Dendroctonus","Dendroctonus valens","EA","Alpha-pinene + Ethanol",2024-05-15,110
"Dendroctonus","Dendroctonus valens","EA","Alpha-pinene + Ethanol",2024-05-29,65
"Dendroctonus","Dendroctonus valens","EA","Alpha-pinene + Ethanol",2024-06-12,11
"Dendroctonus","Dendroctonus valens","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Dendroctonus","Dendroctonus valens","EA","Alpha-pinene + Ethanol",2024-07-10,1
"Dendroctonus","Dendroctonus valens","I","Ips lure",2024-05-01,0
"Dendroctonus","Dendroctonus valens","I","Ips lure",2024-05-15,0
"Dendroctonus","Dendroctonus valens","I","Ips lure",2024-05-29,0
"Dendroctonus","Dendroctonus valens","I","Ips lure",2024-06-12,0
"Dendroctonus","Dendroctonus valens","I","Ips lure",2024-06-26,0
"Dendroctonus","Dendroctonus valens","I","Ips lure",2024-07-10,0
"Xylosandrus","Xylosandrus germanus","E","Ethanol",2024-05-01,26
"Xylosandrus","Xylosandrus germanus","E","Ethanol",2024-05-15,382
"Xylosandrus","Xylosandrus germanus","E","Ethanol",2024-05-29,281
"Xylosandrus","Xylosandrus germanus","E","Ethanol",2024-06-12,15
"Xylosandrus","Xylosandrus germanus","E","Ethanol",2024-06-26,11
"Xylosandrus","Xylosandrus germanus","E","Ethanol",2024-07-10,6
"Xylosandrus","Xylosandrus germanus","EA","Alpha-pinene + Ethanol",2024-05-01,31
"Xylosandrus","Xylosandrus germanus","EA","Alpha-pinene + Ethanol",2024-05-15,725
"Xylosandrus","Xylosandrus germanus","EA","Alpha-pinene + Ethanol",2024-05-29,538
"Xylosandrus","Xylosandrus germanus","EA","Alpha-pinene + Ethanol",2024-06-12,33
"Xylosandrus","Xylosandrus germanus","EA","Alpha-pinene + Ethanol",2024-06-26,25
"Xylosandrus","Xylosandrus germanus","EA","Alpha-pinene + Ethanol",2024-07-10,12
"Xylosandrus","Xylosandrus germanus","I","Ips lure",2024-05-01,1
"Xylosandrus","Xylosandrus germanus","I","Ips lure",2024-05-15,3
"Xylosandrus","Xylosandrus germanus","I","Ips lure",2024-05-29,13
"Xylosandrus","Xylosandrus germanus","I","Ips lure",2024-06-12,1
"Xylosandrus","Xylosandrus germanus","I","Ips lure",2024-06-26,0
"Xylosandrus","Xylosandrus germanus","I","Ips lure",2024-07-10,1
"Ambrosiophilus","Ambrosiophilus atratus","E","Ethanol",2024-05-01,0
"Ambrosiophilus","Ambrosiophilus atratus","E","Ethanol",2024-05-15,0
"Ambrosiophilus","Ambrosiophilus atratus","E","Ethanol",2024-05-29,1
"Ambrosiophilus","Ambrosiophilus atratus","E","Ethanol",2024-06-12,0
"Ambrosiophilus","Ambrosiophilus atratus","E","Ethanol",2024-06-26,0
"Ambrosiophilus","Ambrosiophilus atratus","E","Ethanol",2024-07-10,0
"Ambrosiophilus","Ambrosiophilus atratus","EA","Alpha-pinene + Ethanol",2024-05-01,0
"Ambrosiophilus","Ambrosiophilus atratus","EA","Alpha-pinene + Ethanol",2024-05-15,0
"Ambrosiophilus","Ambrosiophilus atratus","EA","Alpha-pinene + Ethanol",2024-05-29,3
"Ambrosiophilus","Ambrosiophilus atratus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Ambrosiophilus","Ambrosiophilus atratus","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Ambrosiophilus","Ambrosiophilus atratus","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Ambrosiophilus","Ambrosiophilus atratus","I","Ips lure",2024-05-01,0
"Ambrosiophilus","Ambrosiophilus atratus","I","Ips lure",2024-05-15,3
"Ambrosiophilus","Ambrosiophilus atratus","I","Ips lure",2024-05-29,2
"Ambrosiophilus","Ambrosiophilus atratus","I","Ips lure",2024-06-12,0
"Ambrosiophilus","Ambrosiophilus atratus","I","Ips lure",2024-06-26,0
"Ambrosiophilus","Ambrosiophilus atratus","I","Ips lure",2024-07-10,0
"Ips","Ips pini","E","Ethanol",2024-05-01,1
"Ips","Ips pini","E","Ethanol",2024-05-15,0
"Ips","Ips pini","E","Ethanol",2024-05-29,0
"Ips","Ips pini","E","Ethanol",2024-06-12,0
"Ips","Ips pini","E","Ethanol",2024-06-26,0
"Ips","Ips pini","E","Ethanol",2024-07-10,0
"Ips","Ips pini","EA","Alpha-pinene + Ethanol",2024-05-01,0
"Ips","Ips pini","EA","Alpha-pinene + Ethanol",2024-05-15,0
"Ips","Ips pini","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Ips","Ips pini","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Ips","Ips pini","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Ips","Ips pini","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Ips","Ips pini","I","Ips lure",2024-05-01,2
"Ips","Ips pini","I","Ips lure",2024-05-15,2
"Ips","Ips pini","I","Ips lure",2024-05-29,1
"Ips","Ips pini","I","Ips lure",2024-06-12,0
"Ips","Ips pini","I","Ips lure",2024-06-26,0
"Ips","Ips pini","I","Ips lure",2024-07-10,2
"Euwallacea","Euwallacea validus","E","Ethanol",2024-05-01,0
"Euwallacea","Euwallacea validus","E","Ethanol",2024-05-15,5
"Euwallacea","Euwallacea validus","E","Ethanol",2024-05-29,8
"Euwallacea","Euwallacea validus","E","Ethanol",2024-06-12,0
"Euwallacea","Euwallacea validus","E","Ethanol",2024-06-26,0
"Euwallacea","Euwallacea validus","E","Ethanol",2024-07-10,0
"Euwallacea","Euwallacea validus","EA","Alpha-pinene + Ethanol",2024-05-01,0
"Euwallacea","Euwallacea validus","EA","Alpha-pinene + Ethanol",2024-05-15,1
"Euwallacea","Euwallacea validus","EA","Alpha-pinene + Ethanol",2024-05-29,14
"Euwallacea","Euwallacea validus","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Euwallacea","Euwallacea validus","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Euwallacea","Euwallacea validus","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Euwallacea","Euwallacea validus","I","Ips lure",2024-05-01,0
"Euwallacea","Euwallacea validus","I","Ips lure",2024-05-15,1
"Euwallacea","Euwallacea validus","I","Ips lure",2024-05-29,2
"Euwallacea","Euwallacea validus","I","Ips lure",2024-06-12,0
"Euwallacea","Euwallacea validus","I","Ips lure",2024-06-26,0
"Euwallacea","Euwallacea validus","I","Ips lure",2024-07-10,0
"Pityophthorus","Pityophthorus puberulus","E","Ethanol",2024-05-01,0
"Pityophthorus","Pityophthorus puberulus","E","Ethanol",2024-05-15,1
"Pityophthorus","Pityophthorus puberulus","E","Ethanol",2024-05-29,1
"Pityophthorus","Pityophthorus puberulus","E","Ethanol",2024-06-12,1
"Pityophthorus","Pityophthorus puberulus","E","Ethanol",2024-06-26,0
"Pityophthorus","Pityophthorus puberulus","E","Ethanol",2024-07-10,0
"Pityophthorus","Pityophthorus puberulus","EA","Alpha-pinene + Ethanol",2024-05-01,1
"Pityophthorus","Pityophthorus puberulus","EA","Alpha-pinene + Ethanol",2024-05-15,10
"Pityophthorus","Pityophthorus puberulus","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Pityophthorus","Pityophthorus puberulus","EA","Alpha-pinene + Ethanol",2024-06-12,6
"Pityophthorus","Pityophthorus puberulus","EA","Alpha-pinene + Ethanol",2024-06-26,1
"Pityophthorus","Pityophthorus puberulus","EA","Alpha-pinene + Ethanol",2024-07-10,1
"Pityophthorus","Pityophthorus puberulus","I","Ips lure",2024-05-01,0
"Pityophthorus","Pityophthorus puberulus","I","Ips lure",2024-05-15,4
"Pityophthorus","Pityophthorus puberulus","I","Ips lure",2024-05-29,0
"Pityophthorus","Pityophthorus puberulus","I","Ips lure",2024-06-12,1
"Pityophthorus","Pityophthorus puberulus","I","Ips lure",2024-06-26,1
"Pityophthorus","Pityophthorus puberulus","I","Ips lure",2024-07-10,0
"Xyleborinus","Xyleborinus saxesenii","E","Ethanol",2024-05-01,1
"Xyleborinus","Xyleborinus saxesenii","E","Ethanol",2024-05-15,84
"Xyleborinus","Xyleborinus saxesenii","E","Ethanol",2024-05-29,138
"Xyleborinus","Xyleborinus saxesenii","E","Ethanol",2024-06-12,10
"Xyleborinus","Xyleborinus saxesenii","E","Ethanol",2024-06-26,20
"Xyleborinus","Xyleborinus saxesenii","E","Ethanol",2024-07-10,10
"Xyleborinus","Xyleborinus saxesenii","EA","Alpha-pinene + Ethanol",2024-05-01,0
"Xyleborinus","Xyleborinus saxesenii","EA","Alpha-pinene + Ethanol",2024-05-15,5
"Xyleborinus","Xyleborinus saxesenii","EA","Alpha-pinene + Ethanol",2024-05-29,14
"Xyleborinus","Xyleborinus saxesenii","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Xyleborinus","Xyleborinus saxesenii","EA","Alpha-pinene + Ethanol",2024-06-26,3
"Xyleborinus","Xyleborinus saxesenii","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Xyleborinus","Xyleborinus saxesenii","I","Ips lure",2024-05-01,0
"Xyleborinus","Xyleborinus saxesenii","I","Ips lure",2024-05-15,0
"Xyleborinus","Xyleborinus saxesenii","I","Ips lure",2024-05-29,0
"Xyleborinus","Xyleborinus saxesenii","I","Ips lure",2024-06-12,0
"Xyleborinus","Xyleborinus saxesenii","I","Ips lure",2024-06-26,0
"Xyleborinus","Xyleborinus saxesenii","I","Ips lure",2024-07-10,0
"Dryocoetes","Dryocoetes affaber","E","Ethanol",2024-05-01,0
"Dryocoetes","Dryocoetes affaber","E","Ethanol",2024-05-15,0
"Dryocoetes","Dryocoetes affaber","E","Ethanol",2024-05-29,0
"Dryocoetes","Dryocoetes affaber","E","Ethanol",2024-06-12,0
