SequenceID,sampleID,col_names,trapID,State,Site,Lat,Lon,Risk,baselineDate,Lure,forestType,num_reads,CollectionDate
NH.105,D3-I 5-1,D3.I..5.1,D3-I,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",53245,5/1/24
NH.107,D3-I 5-15,D3.I..5.15,D3-I,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",108630,5/15/24
NH.65,D3-I 5-29,D3.I..5.29,D3-I,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",240755,5/29/24
NH.56,D3-I 6-12,D3.I..6.12,D3-I,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",340441,6/12/24
NA,D3-I 6-26,D3.I..6.26,D3-I,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",NA,5/1/24
NH.114,D3-I 7-10,D3.I..7.10,D3-I,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",14919,7/10/24
NH.41,M1-E 5-1,M1.E..5.1,M1-E,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",41801,5/1/24
NH.33,M1-E 5-15,M1.E..5.15,M1-E,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",200130,5/15/24
NH.69,M1-E 5-29,M1.E..5.29,M1-E,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",337318,5/29/24
NH.139,M1-E 6-12,M1.E..6.12,M1-E,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",10365,6/12/24
NH.60,M1-E 6-26,M1.E..6.26,M1-E,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",273140,6/26/24
NH.138,M1-E 7-10,M1.E..7.10,M1-E,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",31615,7/10/24
NH.89,M2-EA 5-1,M2.EA..5.1,M2-EA,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",594013,5/1/24
NH.84,M2-EA 5-15,M2.EA..5.15,M2-EA,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",249797,5/15/24
NH.134,M2-EA 5-29,M2.EA..5.29,M2-EA,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",150675,5/29/24
NH.38,M2-EA 6-12,M2.EA..6.12,M2-EA,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",215883,6/12/24
NH.74,M2-EA 6-26,M2.EA..6.26,M2-EA,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",61060,6/26/24
NH.75,M2-EA 7-10,M2.EA..7.10,M2-EA,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",112482,7/10/24
NH.108,M3-I 5-1,M3.I..5.1,M3-I,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",91804,5/1/24
NH.97,M3-I 5-15,M3.I..5.15,M3-I,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",21448,5/15/24
NH.76,M3-I 5-29,M3.I..5.29,M3-I,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",256422,5/29/24
NH.109,M3-I 6-12,M3.I..6.12,M3-I,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",408571,6/12/24
NH.61,M3-I 6-26,M3.I..6.26,M3-I,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",381994,6/26/24
NH.110,M3-I 7-10,M3.I..7.10,M3-I,NH,Manchester Airport,42.92086,-71.44119,High,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",29610,7/10/24
NH.106,P1-E 5-1,P1.E..5.1,P1-E,NH,Pease,43.06932,-70.80237,High,4/16/24,Ethanol,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",72853,5/1/24
NH.100,P1-E 5-15,P1.E..5.15,P1-E,NH,Pease,43.06932,-70.80237,High,4/16/24,Ethanol,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",65386,5/15/24
NH.72,P1-E 5-29,P1.E..5.29,P1-E,NH,Pease,43.06932,-70.80237,High,4/16/24,Ethanol,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",494038,5/29/24
NH.35,P1-E 6-12,P1.E..6.12,P1-E,NH,Pease,43.06932,-70.80237,High,4/16/24,Ethanol,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",200309,6/12/24
NH.36,P1-E 6-26,P1.E..6.26,P1-E,NH,Pease,43.06932,-70.80237,High,4/16/24,Ethanol,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",28423,6/26/24
NH.137,P1-E 7-10,P1.E..7.10,P1-E,NH,Pease,43.06932,-70.80237,High,4/16/24,Ethanol,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",43988,7/10/24
NH.39,P2-EA 5-1,P2.EA..5.1,P2-EA,NH,Pease,43.06932,-70.80237,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",89304,5/1/24
NH.91,P2-EA 5-15,P2.EA..5.15,P2-EA,NH,Pease,43.06932,-70.80237,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",604949,5/15/24
NH.122,P2-EA 5-29,P2.EA..5.29,P2-EA,NH,Pease,43.06932,-70.80237,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",25768,5/29/24
NH.70,P2-EA 6-12,P2.EA..6.12,P2-EA,NH,Pease,43.06932,-70.80237,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",522143,6/12/24
NH.131,P2-EA 6-26,P2.EA..6.26,P2-EA,NH,Pease,43.06932,-70.80237,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",14831,6/26/24
NH.124,P2-EA 7-10,P2.EA..7.10,P2-EA,NH,Pease,43.06932,-70.80237,High,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",25826,7/10/24
NH.113,P3-I 5-1,P3.I..5.1,P3-I,NH,Pease,43.06932,-70.80237,High,4/16/24,Ips,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",60762,5/1/24
NH.129,P3-I 5-15,P3.I..5.15,P3-I,NH,Pease,43.06932,-70.80237,High,4/16/24,Ips,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",73214,5/15/24
NH.132,P3-I 5-29,P3.I..5.29,P3-I,NH,Pease,43.06932,-70.80237,High,4/16/24,Ips,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",14010,5/29/24
NA,P3-I 6-12,P3.I..6.12,P3-I,NH,Pease,43.06932,-70.80237,High,4/16/24,Ips,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",NA,6/12/24
NH.95,P3-I 6-26,P3.I..6.26,P3-I,NH,Pease,43.06932,-70.80237,High,4/16/24,Ips,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",941329,6/26/24
NH.115,P3-I 7-10,P3.I..7.10,P3-I,NH,Pease,43.06932,-70.80237,High,4/17/24,Ips,"Mostly white pine red oak, with red maple and ash secondary, and beech, white oak, in lesser amounts",32765,7/10/24
