"taxon","t_stat","p_perm","t_stat_quad","p_perm_quad","q_value","q_value_quad","shape","Family","Subfamily","Order"
"Spider Wasp",3.09888443293572,0.002,1.42316001068178,0.17,0.00784615384615385,0.319060975609756,"linear increase (late-season)","Pompilidae",NA,"Hymenoptera"
"Pselaphinae gen. sp.",2.76028596874468,0.002,0.805996154701583,0.428,0.00784615384615385,0.568474137931034,"linear increase (late-season)","Staphylinidae","Pselaphinae","Coleoptera"
"Mordellaria serval",4.50918757068626,0.002,3.71810182674727,0.002,0.00784615384615385,0.019125,"dip (troughs mid-season)","Mordellidae","Mordellinae","Coleoptera"
"Cymbiodyta sp.",-2.92053517405831,0.003,-0.00408803783624161,1,0.0109285714285714,1,"linear decrease (early-season)","Hydrophilidae","Enochrinae","Coleoptera"
"Dryocoetes autographus",2.49164868895591,0.003,-1.90675269979401,0.038,0.0109285714285714,0.1292,"linear increase (late-season)","Curculionidae","Scolytinae","Coleoptera"
"Athous brightwelli",3.16849172158176,0.003,0.657332592638737,0.535,0.0109285714285714,0.665487804878049,"linear increase (late-season)","Elateridae","Dendrometrinae","Coleoptera"
"Glischrochilus fasciatus",-2.91647786612998,0.004,0.0492683193976351,0.957,0.01275,0.982691275167785,"linear decrease (early-season)","Nitidulidae","Cryptarchinae","Coleoptera"
"Dendrophagus cygnaei",-2.59846561091123,0.004,0.962837937351331,0.376,0.01275,0.527779816513761,"linear decrease (early-season)","Silvanidae","Brontinae","Coleoptera"
"Gnathotrichus materiarius",-2.79597284592355,0.004,0.900234948559718,0.339,0.01275,0.484738317757009,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Pityophthorus cariniceps",-2.93360918440038,0.004,2.19721981122524,0.021,0.01275,0.088578947368421,"dip (troughs mid-season)","Curculionidae","Scolytinae","Coleoptera"
"Phloeonomus laesicollis",2.58557103246443,0.004,-0.755148403218367,0.431,0.01275,0.568474137931034,"linear increase (late-season)","Staphylinidae","Omaliinae","Coleoptera"
"Synchroa punctata",3.02349500871036,0.004,1.86835833480104,0.055,0.01275,0.153,"linear increase (late-season)","Synchroidae","NoSubfamily_Synchroinae","Coleoptera"
"Enoclerus nigripes",-1.06520941511423,0.248,-4.13793666906869,0.001,0.387183673469388,0.0139090909090909,"hump (peaks mid-season)","Cleridae","Clerinae","Coleoptera"
"Anisandrus sayi",0.531254150912287,0.601,-4.69680010108423,0.001,0.735624,0.0139090909090909,"hump (peaks mid-season)","Curculionidae","Scolytinae","Coleoptera"
"Asemum striatum",0.658175724340924,0.503,-4.55237390504998,0.001,0.667396551724138,0.0139090909090909,"hump (peaks mid-season)","Cerambycidae","Spondylidinae","Coleoptera"
"Melandrya striata",0.440045534875798,0.681,-3.26896995121249,0.001,0.789340909090909,0.0139090909090909,"hump (peaks mid-season)","Melandryidae","Melandryinae","Coleoptera"
"Himatium errans",3.13164847360635,0.005,0.252930662345626,0.815,0.0156122448979592,0.903586956521739,"linear increase (late-season)","Curculionidae","Cossoninae","Coleoptera"
"Isarthrus calceatus",-0.87401139163404,0.435,-3.95083297073143,0.002,0.612,0.019125,"hump (peaks mid-season)","Eucnemidae","Dromaeolinae","Coleoptera"
"Glischrochilus sanguinolentus",-2.94943559374082,0.007,1.01320333386879,0.303,0.02142,0.459,"linear decrease (early-season)","Nitidulidae","Cryptarchinae","Coleoptera"
"Xyleborinus saxesenii",-0.447416994260721,0.652,-2.79647178665576,0.003,0.773302325581395,0.0218571428571429,"hump (peaks mid-season)","Curculionidae","Scolytinae","Coleoptera"
"Cerylon castaneum",0.77243986898435,0.436,-2.87594348886403,0.003,0.612,0.0218571428571429,"hump (peaks mid-season)","Cerylonidae","Ceryloninae","Coleoptera"
"Hadrobregmus notatus",0.512578115021044,0.628,-2.89933450816654,0.003,0.756566929133858,0.0218571428571429,"hump (peaks mid-season)","Ptinidae","Anobiinae","Coleoptera"
"Ampedus unnamed sp. ",-2.42451412121371,0.008,0.169691231641197,0.873,0.0230943396226415,0.926383561643836,"linear decrease (early-season)","Elateridae","Elaterinae","Coleoptera"
"Tetropium schwarzianum",2.74201694520367,0.008,-1.79413074792249,0.091,0.0230943396226415,0.223615384615385,"linear increase (late-season)","Cerambycidae","Spondylidinae","Coleoptera"
"Microrhagus sp.",2.74800244755593,0.008,1.1931799636791,0.254,0.0230943396226415,0.419516129032258,"linear increase (late-season)","Eucnemidae","Melasinae","Coleoptera"
"Zenodosus sanguineus",1.09585273714811,0.272,-2.74961938072756,0.004,0.41616,0.02448,"hump (peaks mid-season)","Thanerocleridae","Zenodosinae","Coleoptera"
"Contacyphon sp.",-0.0893027206732186,0.926,2.81638316655429,0.004,0.957283783783784,0.02448,"dip (troughs mid-season)","Scirtidae","Scirtinae","Coleoptera"
"Orthoperus scutellaris",1.95582927248492,0.053,-3.48848130291741,0.004,0.112625,0.02448,"hump (peaks mid-season)","Corylophidae","Corylophinae","Coleoptera"
"Coproporus sp.",-0.139883672476424,0.883,-2.97981696738768,0.004,0.9381875,0.02448,"hump (peaks mid-season)","Staphylinidae","Tachyporinae","Coleoptera"
"Hylastes opacus",-2.592388334873,0.009,-0.521670878035657,0.611,0.0255,0.736086614173228,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Charaphloeus convexulus",-2.84382377140613,0.01,0.184923148471108,0.884,0.0278181818181818,0.926383561643836,"linear decrease (early-season)","Laemophloeidae","NoSubfamily_Laemophloeidae","Coleoptera"
"Agathidium sp.",1.10162680800337,0.265,-3.12694156519672,0.005,0.409545454545455,0.0283333333333333,"hump (peaks mid-season)","Leiodidae","Leiodinae","Coleoptera"
"Xyelid sawfly",-0.253516080690491,0.825,-2.59217245968476,0.005,0.908093525179856,0.0283333333333333,"hump (peaks mid-season)","Xyelidae",NA,"Hymenoptera"
"Enicmus tenuicornis",-2.34854597418359,0.011,-0.0882725060062904,0.926,0.0295263157894737,0.957283783783784,"linear decrease (early-season)","Latridiidae","Latridiinae","Coleoptera"
"Synchita fuliginosa",2.312558808187,0.011,0.340938237820768,0.748,0.0295263157894737,0.860481203007519,"linear increase (late-season)","Zopheridae","Colydiinae","Coleoptera"
"Colopterus truncatus",-2.58633682978537,0.012,-1.52454123437355,0.147,0.0316551724137931,0.284696202531646,"linear decrease (early-season)","Nitidulidae","Cillaeinae","Coleoptera"
"Rhinosimus viridiaeneus",-2.29351545769385,0.014,1.12096641950953,0.367,0.0363050847457627,0.519916666666667,"linear decrease (early-season)","Salpingidae","Salpinginae","Coleoptera"
"Lobiopa undulata",2.20297690136962,0.015,0.984570176067651,0.318,0.03825,0.477,"linear increase (late-season)","Nitidulidae","Nitidulinae","Coleoptera"
"Limonius basilaris",0.519512167066984,0.582,-2.63143159713055,0.008,0.730451612903226,0.0408,"hump (peaks mid-season)","Elateridae","Dendrometrinae","Coleoptera"
"Cis fuscipes",-0.464276045017049,0.642,-2.61269052711861,0.008,0.767390625,0.0408,"hump (peaks mid-season)","Ciidae","Ciinae","Coleoptera"
"Lacon discoideus",0.69662856984937,0.482,-2.5201313821585,0.008,0.658446428571429,0.0408,"hump (peaks mid-season)","Elateridae","Agrypninae","Coleoptera"
"Cockroach",2.3902356740042,0.017,-0.156640341178484,0.904,0.0426393442622951,0.940897959183674,"linear increase (late-season)",NA,NA,"Blattodea"
"Aulonothroscus sp.",2.17207501679569,0.018,-0.81308543321331,0.395,0.0444193548387097,0.544459459459459,"linear increase (late-season)","Throscidae","NoSubfamily_Throscidae","Coleoptera"
"Miridae gen. sp.",2.31606178898292,0.019,0.272383238393595,0.803,0.0461428571428571,0.903375,"linear increase (late-season)","Miridae",NA,"Hemiptera"
"Ampedus semicinctus",0.0997240187920234,0.926,-2.69545406253255,0.01,0.957283783783784,0.0493548387096774,"hump (peaks mid-season)","Elateridae","Elaterinae","Coleoptera"
"Dryocoetes affaber",-0.539662636884137,0.589,-2.16033895669022,0.011,0.730451612903226,0.051,"hump (peaks mid-season)","Curculionidae","Scolytinae","Coleoptera"
"Cis creberrimus",0.652526438109524,0.526,-2.60027095947907,0.011,0.676285714285714,0.051,"hump (peaks mid-season)","Ciidae","Ciinae","Coleoptera"
"Pissodes affinis",0.735389751764317,0.457,-2.55814308682709,0.013,0.634054054054054,0.0585,"hump (peaks mid-season)","Curculionidae","Molytinae","Coleoptera"
"Melanotus similis",2.26402368710525,0.025,0.856448947985138,0.395,0.059765625,0.544459459459459,"linear increase (late-season)","Elateridae","Elaterinae","Coleoptera"
"Cerylon unicolor",2.02176629622863,0.031,-0.726815000053833,0.451,0.0718636363636364,0.589769230769231,"linear increase (late-season)","Cerylonidae","Ceryloninae","Coleoptera"
"Mioptachys flavicauda",2.36112624743472,0.031,-2.15192783148051,0.038,0.0718636363636364,0.1292,"linear increase (late-season)","Carabidae","Trechinae","Coleoptera"
"Ellychnia corrusca",-2.17397683991741,0.034,-2.28978151902174,0.029,0.0776417910447761,0.108219512195122,"linear decrease (early-season)","Lampyridae","Lampyrinae","Coleoptera"
"Parasitic Wasp",-2.06842178743366,0.039,0.0300506124661924,0.97,0.08775,0.9894,"linear decrease (early-season)",NA,NA,"Hymenoptera"
"Agriotes oblongicollis",-0.738414471434747,0.46,-2.37652514581981,0.022,0.634054054054054,0.088578947368421,"hump (peaks mid-season)","Elateridae","Elaterinae","Coleoptera"
"Melanotus castanipes",1.80714808124113,0.079,-2.38333773616389,0.022,0.153,0.088578947368421,"hump (peaks mid-season)","Elateridae","Elaterinae","Coleoptera"
"Belonuchus rufipennis",2.06271554591122,0.044,0.212575598498814,0.844,0.0975652173913043,0.912612676056338,"linear increase (late-season)","Staphylinidae","Staphylininae","Coleoptera"
"Thoracophorus costalis",2.09688264412959,0.047,-0.311812694948202,0.754,0.102728571428571,0.860910447761194,"no significant date pattern","Staphylinidae","Osoriinae","Coleoptera"
"Hylobius pales",1.84890171557768,0.048,-1.57325741562308,0.1,0.10343661971831,0.226173913043478,"no significant date pattern","Curculionidae","Molytinae","Coleoptera"
"Phyllophaga longispina",-0.191528594436294,0.865,-2.42744175105761,0.029,0.928699300699301,0.108219512195122,"no significant date pattern","Scarabaeidae","Melolonthinae","Coleoptera"
"Monarthrum fasciatum",0.272190249498413,0.797,-2.18348879873755,0.028,0.908093525179856,0.108219512195122,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Thanasimus dubius",0.386701951236175,0.674,-2.02454319202934,0.032,0.789340909090909,0.116571428571429,"no significant date pattern","Cleridae","Clerinae","Coleoptera"
"Catogenus rufus",0.065810742078555,0.953,-2.18605275627911,0.034,0.960276315789474,0.120976744186047,"no significant date pattern","Passandridae","NoSubfamily_Passandridae","Coleoptera"
"Nudobius cephalus",-1.9519797025622,0.059,-0.460690127256333,0.651,0.123657534246575,0.772116279069768,"no significant date pattern","Staphylinidae","Xantholininae","Coleoptera"
"Pycnotomina cavicolle",1.92291312189312,0.065,-0.32684036323375,0.726,0.134391891891892,0.8415,"no significant date pattern","Monotomidae","Monotominae","Coleoptera"
"Xylosandrus crassiusculus",1.52087803082943,0.086,-1.92463847373548,0.041,0.164333333333333,0.136369565217391,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Nipponoserica peregrina",1.85672089662383,0.07,-0.249793301884655,0.828,0.1428,0.911395683453237,"no significant date pattern","Scarabaeidae","Melolonthinae","Coleoptera"
"Cyrtophorus verrucosus",-0.0692614676401251,0.946,-1.93328806194067,0.047,0.960276315789474,0.14382,"no significant date pattern","Cerambycidae","Cerambycinae","Coleoptera"
"Philothermus glabriculus",-0.18451078914005,0.85,-2.00098244366673,0.046,0.922340425531915,0.14382,"no significant date pattern","Cerylonidae","Ceryloninae","Coleoptera"
"Cyclorhipidion bodoanum",1.65149383218738,0.072,0.169432132238461,0.868,0.144947368421053,0.926383561643836,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Hylesinus aculeatus",-1.90098921777855,0.074,-0.287032348681133,0.844,0.147038961038961,0.912612676056338,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Orthotomicus caelatus",-0.581253174729892,0.592,-1.9006457776953,0.05,0.730451612903226,0.147115384615385,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Euwallacea validus",-1.60675242606714,0.087,-1.90009194212164,0.052,0.164333333333333,0.147333333333333,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Sunius confluentus",-0.996236466302525,0.317,-1.98967644707893,0.056,0.470883495145631,0.153,"no significant date pattern","Staphylinidae","Paederinae","Coleoptera"
"Ptilinus ruficornis",0.684393620035287,0.513,-1.85624280606374,0.057,0.670846153846154,0.153,"no significant date pattern","Ptinidae","Ptilininae","Coleoptera"
"Quedius cruentus",1.80096821295589,0.079,0.120141184283855,0.881,0.153,0.926383561643836,"no significant date pattern","Staphylinidae","Staphylininae","Coleoptera"
"Hylastes porculus",0.898217255447568,0.4,-1.94779314400564,0.065,0.57196261682243,0.16575,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Clypastraea lunata",-1.70486490571043,0.089,-0.732567748056984,0.467,0.166060975609756,0.600428571428572,"no significant date pattern","Corylophidae","Corylophinae","Coleoptera"
"Malthodes sp.",1.73963019464982,0.096,-1.52522937358237,0.139,0.176678571428571,0.276194805194805,"no significant date pattern","Cantharidae","Malthininae","Coleoptera"
"Xylotrechus colonus",1.66744123268213,0.097,-0.999047303074758,0.325,0.176678571428571,0.480857142857143,"no significant date pattern","Cerambycidae","Cerambycinae","Coleoptera"
"Pityophthorus puberulus",-1.61390885777978,0.1,-1.22465591849507,0.217,0.18,0.3906,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Ichneumonidae gen. sp.",-1.65966069231056,0.102,0.736734492674163,0.689,0.18146511627907,0.804709923664122,"no significant date pattern","Ichneumonidae",NA,"Hymenoptera"
"Ptiliidae gen. sp.",0.241151643701302,0.802,1.75361908887805,0.076,0.908093525179856,0.190622950819672,"no significant date pattern","Ptiliidae",NA,"Coleoptera"
"Dichelonyx canadensis",1.50543537581785,0.112,-0.790333682365813,0.409,0.196965517241379,0.552947368421053,"no significant date pattern","Scarabaeidae","Melolonthinae","Coleoptera"
"Crypturgus alutaceus",1.38147754424627,0.116,-1.38038629768755,0.124,0.201681818181818,0.256378378378378,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Camponotus pennsylvanicus",1.41543930397335,0.123,-1.11332512637922,0.255,0.211449438202247,0.419516129032258,"no significant date pattern","Formicidae","Formicinae","Hymenoptera"
"Acilius mediatus",-1.05056947269076,0.312,-1.70092219654681,0.095,0.468,0.223615384615385,"no significant date pattern","Dytiscidae","Dytiscinae","Coleoptera"
"Xylobiops basilaris",1.04086661119917,0.3,-1.64824994540873,0.094,0.454455445544554,0.223615384615385,"no significant date pattern","Bostrichidae","Bostrichinae","Coleoptera"
"Phalacridae gen. sp.",0.259954939909351,0.824,-1.7321111154129,0.095,0.908093525179856,0.223615384615385,"no significant date pattern","Phalacridae",NA,"Coleoptera"
"Corticeus parallelus",-0.575705308640735,0.626,-1.74867163704381,0.1,0.756566929133858,0.226173913043478,"no significant date pattern","Tenebrionidae","Diaperinae","Coleoptera"
"Laneganus sulcicollis",0.197208661199273,0.85,-1.6770619614792,0.101,0.922340425531915,0.226173913043478,"no significant date pattern","Elateridae","Dendrometrinae","Coleoptera"
"Syzeton subfasciatus",0.58775607724141,0.506,-1.67307836496507,0.102,0.667396551724138,0.226173913043478,"no significant date pattern","Aderidae","NoSubfamily_Aderidae","Coleoptera"
"Cyrtepistomus castaneus",1.52814682779877,0.135,-0.243664058295592,0.811,0.2295,0.903586956521739,"no significant date pattern","Curculionidae","Entiminae","Coleoptera"
"Melanotus americanus",-1.23134222485225,0.222,-1.57617458841863,0.11,0.350164948453608,0.240428571428571,"no significant date pattern","Elateridae","Elaterinae","Coleoptera"
"Sepedophilus sp.",0.51746526011826,0.56,-1.46308948961171,0.124,0.714,0.256378378378378,"no significant date pattern","Staphylinidae","Tachyporinae","Coleoptera"
"Bombus sp.",1.39268479362844,0.154,-0.511851044721003,0.588,0.258923076923077,0.721285714285714,"no significant date pattern","Apidae","Apinae","Hymenoptera"
"Grynocharis quadrilineata",0.336603947331511,0.719,-1.35135436753633,0.145,0.82712030075188,0.284423076923077,"no significant date pattern","Lophocateridae","NoSubfamily_Lophocateridae","Coleoptera"
"Epuraea sp.",-1.37807802459173,0.19,1.42599880006658,0.152,0.314225806451613,0.2907,"no significant date pattern","Nitidulidae","Epuraeinae","Coleoptera"
"Cucujus clavipes",-1.28674009543587,0.191,-0.302334684718633,0.77,0.314225806451613,0.872666666666667,"no significant date pattern","Cucujidae","NoSubfamily_Cucujidae","Coleoptera"
"Ampedus areolatus",1.2807385214365,0.194,-0.71830900570774,0.466,0.315765957446809,0.600428571428572,"no significant date pattern","Elateridae","Elaterinae","Coleoptera"
"Aleocharinae gen. sp.",0.00985122371829546,0.991,1.3270079543347,0.175,0.991,0.322590361445783,"no significant date pattern","Staphylinidae","Aleocharinae","Coleoptera"
"Trixagus chevrolati",1.26993247231707,0.216,-0.921820636656133,0.403,0.347873684210526,0.550526785714286,"no significant date pattern","Throscidae","NoSubfamily_Throscidae","Coleoptera"
"Gambrinus confusus",1.21742900514196,0.22,-1.0810969092955,0.277,0.350164948453608,0.436917525773196,"no significant date pattern","Elateridae","Dendrometrinae","Coleoptera"
"Ips pini",-0.139859509140727,0.899,1.23781542516074,0.2,0.9486,0.364285714285714,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Ips grandicollis",0.371285323490688,0.676,-1.13229483250789,0.227,0.789340909090909,0.394670454545455,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Phloeotribus liminaris",-0.611206363912244,0.586,-1.25179989498385,0.233,0.730451612903226,0.400550561797753,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Spider",0.68523430306987,0.523,1.19459022675702,0.255,0.676285714285714,0.419516129032258,"no significant date pattern",NA,NA,"Araneae"
"Stenolophus ochropezus",0.690586236940979,0.496,-1.11660091143573,0.268,0.665684210526316,0.431621052631579,"no significant date pattern","Carabidae","Harpalinae","Coleoptera"
"Caddisfly",0.965138758995679,0.35,-1.17641056534253,0.295,0.51,0.455909090909091,"no significant date pattern",NA,NA,"Trichoptera"
"Rhagium inquisitor",-0.907317594437372,0.399,-1.09193906342884,0.302,0.57196261682243,0.459,"no significant date pattern","Cerambycidae","Lepturinae","Coleoptera"
"Hydraena sp.",-0.223936397935564,0.823,1.16372230049178,0.328,0.908093525179856,0.480857142857143,"no significant date pattern","Hydraenidae","Hydraeninae","Coleoptera"
"Pseudopityophthorus minutissimus",1.05035803834613,0.328,-0.0227071264991931,0.985,0.482538461538462,0.991480263157895,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Scydmaeninae gen. sp.",-0.0606895143160825,0.954,-0.825497860791624,0.412,0.960276315789474,0.552947368421053,"no significant date pattern","Staphylinidae","Scydmaeninae","Coleoptera"
"Hylurgops pinifex",-0.079510451612405,0.92,-0.545107979100645,0.499,0.957283783783784,0.636225,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Namunaria guttulata",0.650745339718041,0.488,-0.350253275358818,0.685,0.660743362831858,0.804709923664122,"no significant date pattern","Zopheridae","Colydiinae","Coleoptera"
"Monarthrum mali",0.0684931169315591,0.936,-0.625385971706129,0.529,0.960276315789474,0.663418032786885,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
"Moth",0.270642088450608,0.813,0.498872224815935,0.624,0.908093525179856,0.745875,"no significant date pattern",NA,NA,"Lepidoptera"
"Pityophthorus consimilis",-0.20120316194682,0.868,-0.0318452359077017,0.979,0.928699300699301,0.991480263157895,"no significant date pattern","Curculionidae","Scolytinae","Coleoptera"
