"sample_id","residual","site","lure","trap_id","date"
"NH.132",0.0650555891319549,"Pease","Ips","P3-I",2024-05-29
"NH.73",0.0641095877401862,"Durham","Ethanol","D1-E",2024-06-12
"NH.115",0.0640475593194725,"Pease","Ips","P3-I",2024-07-10
"NH.109",0.0630011864351886,"Manchester Airport","Ips","M3-I",2024-06-12
"NH.33",0.0620587659820842,"Manchester Airport","Ethanol","M1-E",2024-05-15
"NH.69",0.0583525183867327,"Manchester Airport","Ethanol","M1-E",2024-05-29
"NH.117",0.0512725098400467,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-01
"NH.139",0.0491808463658793,"Manchester Airport","Ethanol","M1-E",2024-06-12
"NH.124",0.0487475755941843,"Pease","Alpha-pinene_EtOH","P2-EA",2024-07-10
"NH.137",0.0483031571711966,"Pease","Ethanol","P1-E",2024-07-10
"NH.87",0.0451798584119747,"Manchester Cedar Swamp","Ethanol","C1-E",2024-07-10
"NH.65",0.0414676658533196,"Durham","Ips","D3-I",2024-05-29
"NH.41",0.0411646543947797,"Manchester Airport","Ethanol","M1-E",2024-05-01
"NH.38",0.0403460777834859,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-12
"NH.134",0.0346983870446985,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-29
"NH.53",0.0343610009831495,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-06-26
"NH.84",0.0343541849635947,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-15
"NH.74",0.0316225246599092,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-26
"NH.70",0.0309809786498305,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-12
"NH.44",0.0280637669407794,"Durham","Ethanol","D1-E",2024-05-01
"NH.66",0.0276856460670403,"Durham","Alpha-pinene_EtOH","D2-EA",2024-07-10
"NH.35",0.0266535944689533,"Pease","Ethanol","P1-E",2024-06-12
"NH.57",0.0261154043510791,"Manchester Cedar Swamp","Ips","C3-I",2024-07-10
"NH.67",0.0235503494132793,"Durham","Alpha-pinene_EtOH","D2-EA",2024-06-26
"NH.51",0.0231991110175138,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-29
"NH.52",0.0198244503043759,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-07-10
"NH.94",0.0157528830062555,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-29
"NH.49",0.0154621173929463,"Durham","Ethanol","D1-E",2024-07-10
"NH.116",0.0150670356696949,"Durham","Ethanol","D1-E",2024-06-26
"NH.104",0.0129359477639578,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-01
