Collection Date,State,Site,Lure,Trap Code,Class,Order,Family,Subfamily,Genus,Species,Finest ID,No of species,Count,Pinned,Notes
5/1/24,NH,C,I,C3-I,Insecta,Coleoptera,Curculionidae,Conoderinae,Cylindrocopturus,Cylindrocopturus longulus,Cylindrocopturus longulus,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyloterinus,Xyloterinus politus,Xyloterinus politus,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Coleoptera,Mycetophagidae,Mycetophaginae,Mycetophagus,Mycetophagus pluripunctatus,Mycetophagus pluripunctatus,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Coleoptera,Staphylinidae,Staphylininae,,,Staphylinine gen. sp.,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Hymenoptera,,,,,Bee,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Hymenoptera,,,,,Parasitic Wasp,,1,,
5/1/24,NH,C,I,C3-I,Insecta,Plecoptera,,,,,Plecoptera,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Cleridae,Clerinae,Enoclerus,Enoclerus nigripes,Enoclerus nigripes,,3,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Cucujidae,NoSubfamily_Cucujidae,Cucujus,Cucujus clavipes,Cucujus clavipes,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Cyclorhipidion,Cyclorhipidion pelliculosum,Cyclorhipidion pelliculosum,,10,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Dendroctonus,Dendroctonus valens,Dendroctonus valens,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Heteroborips,Heteroborips seriatus,Heteroborips seriatus,,2,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Ips,Ips pini,Ips pini,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Pityogenes,Pityogenes hopkinsi,Pityogenes hopkinsi,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,31,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,,8,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Endomychidae,Leiestinae,Phymaphora,Phymaphora pulchella,Phymaphora pulchella,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Laemophloeidae,NoSubfamily_Laemophloeidae,Charaphloeus,Charaphloeus convexulus,Charaphloeus convexulus,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,5,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Latridiidae,Latridiinae,Enicmus,Enicmus tenuicornis,Enicmus tenuicornis,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Scirtidae,Scirtinae,Contacyphon,,Contacyphon sp.,,2,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,,1,,
5/1/24,NH,D,E,D1-E,Insecta,Coleoptera,Staphylinidae,Tachyporinae,Sepedophilus,,Sepedophilus sp.,,1,,
5/1/24,NH,D,EA,D2-EA,Arachnida,Araneae,,,,,Spider,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Cleridae,Clerinae,Enoclerus,Enoclerus nigripes,Enoclerus nigripes,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Molytinae,Pissodes,Pissodes strobi,Pissodes strobi,,4,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Gnathotrichus,Gnathotrichus materiarius,Gnathotrichus materiarius,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Heteroborips,Heteroborips seriatus,Heteroborips seriatus,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Hylurgops,Hylurgops pinifex,Hylurgops pinifex,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Monarthrum,Monarthrum mali,Monarthrum mali,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Orthotomicus,Orthotomicus caelatus,Orthotomicus caelatus,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Pityogenes,Pityogenes hopkinsi,Pityogenes hopkinsi,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Pityophthorus,Pityophthorus cariniceps,Pityophthorus cariniceps,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,8,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,,5,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyloterinus,Xyloterinus politus,Xyloterinus politus,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Endomychidae,Leiestinae,Phymaphora,Phymaphora pulchella,Phymaphora pulchella,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Hydraenidae,Hydraeninae,Hydraena,,Hydraena sp.,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Cymbiodyta,,Cymbiodyta sp.,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,Enochrus sp.,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Latridiidae,Corticariinae,Cortinicara,Cortinicara gibbosa,Cortinicara gibbosa,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,4,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus fasciatus,Glischrochilus fasciatus,,1,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Scirtidae,Scirtinae,Contacyphon,,Contacyphon sp.,,2,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,2,3,,
5/1/24,NH,D,EA,D2-EA,Insecta,Coleoptera,Tenebrionidae,Diaperinae,Corticeus,Corticeus praetermissus,Corticeus praetermissus,,1,,
5/1/24,NH,D,I,D3-I,Arachnida,Araneae,,,,,Spider,2,2,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Ciidae,Ciinae,Orthocis,Orthocis punctatus,Orthocis punctatus,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Cryptophagidae,Cryptophaginae,Cryptophagus,,Cryptophagus sp.,,2,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Cymbiodyta,,Cymbiodyta sp.,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Laemophloeidae,NoSubfamily_Laemophloeidae,Charaphloeus,Charaphloeus convexulus,Charaphloeus convexulus,,2,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,4,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Latridiidae,Latridiinae,Enicmus,Enicmus tenuicornis,Enicmus tenuicornis,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Salpingidae,Salpinginae,Rhinosimus,Rhinosimus viridiaeneus,Rhinosimus viridiaeneus,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Scirtidae,Scirtinae,Contacyphon,,Contacyphon sp.,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Coleoptera,Silvanidae,Brontinae,Dendrophagus,Dendrophagus cygnaei,Dendrophagus cygnaei,,1,,
5/1/24,NH,D,I,D3-I,Insecta,Hymenoptera,Ichneumonidae,,,,Ichneumonidae gen. sp.,,2,,
5/1/24,NH,D,I,D3-I,Insecta,Hymenoptera,,,,,Parasitic Wasp,,1,,https://bugguide.net/node/view/2404779
5/1/24,NH,M,E,M1-E,Arachnida,Araneae,,,,,Spider,4,5,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Ciidae,Ciinae,Orthocis,Orthocis punctatus,Orthocis punctatus,,2,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Ciidae,Ciinae,Orthocis,Orthocis reflexicollis,Orthocis reflexicollis,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Cyclorhipidion,Cyclorhipidion pelliculosum,Cyclorhipidion pelliculosum,,15,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Pityogenes,Pityogenes hopkinsi,Pityogenes hopkinsi,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,40,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,,16,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyloterinus,Xyloterinus politus,Xyloterinus politus,,2,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Lampyridae,Lampyrinae,Ellychnia,Ellychnia corrusca,Ellychnia corrusca,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,6,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Latridiidae,Latridiinae,Enicmus,Enicmus tenuicornis,Enicmus tenuicornis,,3,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Lophocateridae,NoSubfamily_Lophocateridae,Grynocharis,Grynocharis quadrilineata,Grynocharis quadrilineata,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Nitidulidae,Cillaeinae,Colopterus,Colopterus truncatus,Colopterus truncatus,,7,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus fasciatus,Glischrochilus fasciatus,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus sanguinolentus,Glischrochilus sanguinolentus,,6,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Ptiliidae,,,,Ptiliidae gen. sp.,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Hoplia,Hoplia trifasciata,Hoplia trifasciata,,4,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Scirtidae,Scirtinae,Contacyphon,,Contacyphon sp.,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,2,2,,
5/1/24,NH,M,E,M1-E,Insecta,Coleoptera,Staphylinidae,Tachyporinae,Sepedophilus,,Sepedophilus sp.,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Hymenoptera,,,,,Bee,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Hymenoptera,,,,,Platygastroid,,1,,
5/1/24,NH,M,E,M1-E,Insecta,Lepidoptera,,,,,Moth,,1,,
5/1/24,NH,M,EA,M2-EA,Arachnida,Araneae,,,,,Spider,3,5,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Cleridae,Clerinae,Enoclerus,Enoclerus nigripes,Enoclerus nigripes,,2,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Corylophidae,Corylophinae,Clypastraea,Clypastraea lunata,Clypastraea lunata,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Molytinae,Pissodes,Pissodes strobi,Pissodes strobi,,10,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Conophthorus,Conophthorus coniperda,Conophthorus coniperda,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Cyclorhipidion,Cyclorhipidion pelliculosum,Cyclorhipidion pelliculosum,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Dendroctonus,Dendroctonus valens,Dendroctonus valens,,7,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Gnathotrichus,Gnathotrichus materiarius,Gnathotrichus materiarius,,2,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Ips,Ips grandicollis,Ips grandicollis,,3,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Monarthrum,Monarthrum mali,Monarthrum mali,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Orthotomicus,Orthotomicus caelatus,Orthotomicus caelatus,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Pityophthorus,Pityophthorus cariniceps,Pityophthorus cariniceps,,2,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,11,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,,23,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyloterinus,Xyloterinus politus,Xyloterinus politus,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Derodontidae,Laricobiinae,Laricobius,Laricobius rubidus,Laricobius rubidus,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Elateridae,Dendrometrinae,Corymbitodes,Corymbitodes tarsalis,Corymbitodes tarsalis,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Erotylidae,Xenoscelinae,Cryptophilus,Cryptophilus seriatus,Cryptophilus seriatus,,2,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Lampyridae,Lampyrinae,Ellychnia,Ellychnia corrusca,Ellychnia corrusca,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,7,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus sanguinolentus,Glischrochilus sanguinolentus,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Hoplia,Hoplia trifasciata,Hoplia trifasciata,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Scirtidae,Scirtinae,Contacyphon,,Contacyphon sp.,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Staphylinidae,Mycetoporinae,Bryoporus,,Bryoporus sp.,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Coleoptera,Staphylinidae,Tachyporinae,Sepedophilus,,Sepedophilus sp.,,2,,
5/1/24,NH,M,EA,M2-EA,Insecta,Hymenoptera,,,,,Bee,,1,,
5/1/24,NH,M,EA,M2-EA,Insecta,Lepidoptera,,,,,Moth,,2,,
5/1/24,NH,M,EA,M2-EA,Insecta,Plecoptera,,,,,Stonefly,,1,,
5/1/24,NH,M,I,M3-I,Arachnida,Araneae,,,,,Spider,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Carabidae,Harpalinae,Stenolophus,,Stenolophus sp.,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Ciidae,Ciinae,Orthocis,Orthocis punctatus,Orthocis punctatus,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Cleridae,Clerinae,Enoclerus,Enoclerus nigripes,Enoclerus nigripes,,2,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Cleridae,Clerinae,Thanasimus,Thanasimus dubius,Thanasimus dubius,,3,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Cryptophagidae,Cryptophaginae,Henoticus,Henoticus pilifer,Henoticus pilifer,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Curculionidae,Molytinae,Pissodes,Pissodes strobi,Pissodes strobi,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Gnathotrichus,Gnathotrichus materiarius,Gnathotrichus materiarius,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Ips,Ips pini,Ips pini,,2,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Pityophthorus,Pityophthorus cariniceps,Pityophthorus cariniceps,,2,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyloterinus,Xyloterinus politus,Xyloterinus politus,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Laemophloeidae,NoSubfamily_Laemophloeidae,Charaphloeus,Charaphloeus convexulus,Charaphloeus convexulus,,3,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Lampyridae,Lampyrinae,Ellychnia,Ellychnia corrusca,Ellychnia corrusca,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,5,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus fasciatus,Glischrochilus fasciatus,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,3,4,,
5/1/24,NH,M,I,M3-I,Insecta,Coleoptera,Staphylinidae,Staphylininae,,,Staphylinine gen. sp.,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Hymenoptera,,,,,Bee,,1,,
5/1/24,NH,M,I,M3-I,Insecta,Hymenoptera,,,,,Parasitic Wasp,,3,,
5/1/24,NH,P,E,P1-E,Arachnida,Araneae,,,,,Spider,2,2,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Cleridae,Clerinae,Enoclerus,Enoclerus nigripes,Enoclerus nigripes,,2,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Heteroborips,Heteroborips seriatus,Heteroborips seriatus,,3,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Hylesinus,Hylesinus aculeatus,Hylesinus aculeatus,,1,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Trypodendron,Trypodendron retusum,Trypodendron retusum,,1,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,85,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Derodontidae,Laricobiinae,Laricobius,Laricobius nigrinus,Laricobius nigrinus,,1,y,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Elateridae,Dendrometrinae,Sylvanelater,Sylvanelater cylindriformis,Sylvanelater cylindriformis,,1,,https://bugguide.net/node/view/2404986
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,1,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus sanguinolentus,Glischrochilus sanguinolentus,,6,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Nitidulidae,Epuraeinae,Epuraea,,Epuraea sp.,,1,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Salpingidae,Salpinginae,Rhinosimus,Rhinosimus viridiaeneus,Rhinosimus viridiaeneus,,1,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,2,3,,
5/1/24,NH,P,E,P1-E,Insecta,Coleoptera,Staphylinidae,Scydmaeninae,,,Scydmaeninae gen. sp.,,1,,
