"sample_id","residual","site","lure","trap_id","date"
"NH.124",0.0297067373327383,"Pease","Alpha-pinene_EtOH","P2-EA",2024-07-10
"NH.51",0.0282250766010219,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-29
"NH.116",0.0279534199830427,"Durham","Ethanol","D1-E",2024-06-26
"NH.52",0.0255575654534562,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-07-10
"NH.41",0.0251953953819532,"Manchester Airport","Ethanol","M1-E",2024-05-01
"NH.94",0.024767434855669,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-29
"NH.104",0.0237588465725367,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-01
"NH.134",0.021166597257457,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-29
"NH.49",0.0205340422580974,"Durham","Ethanol","D1-E",2024-07-10
"NH.57",0.0188848134261633,"Manchester Cedar Swamp","Ips","C3-I",2024-07-10
"NH.35",0.0182553199015681,"Pease","Ethanol","P1-E",2024-06-12
